Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
6,9.074,770856,38071,1748,50,1000,0.100,0.050,1.000,1.028,50
7,10.634,901834,44617,1887,60,1000,0.100,0.050,1.000,1.023,60
8,12.770,1080961,53581,2230,70,1000,0.100,0.050,1.000,1.037,70
9,13.244,1120845,55568,2393,80,1000,0.100,0.050,1.000,1.030,80
10,18.298,1544940,76775,3404,90,1000,0.100,0.050,1.000,1.040,90
1,4.300,379474,18504,827,0,1000,0.100,0.050,1.000,1.017,0
2,6.481,567328,27892,1232,10,1000,0.100,0.050,1.000,1.023,10
3,8.067,703973,34717,1580,20,1000,0.100,0.050,1.000,1.024,20
4,8.011,699047,34476,1592,30,1000,0.100,0.050,1.000,1.025,30
5,9.036,787619,38887,1775,40,1000,0.100,0.050,1.000,1.029,40
6,12.636,1097359,54382,2457,50,1000,0.100,0.050,1.000,1.025,50
7,11.086,963833,47711,2028,60,1000,0.100,0.050,1.000,1.032,60
8,11.450,994936,49276,2171,70,1000,0.100,0.050,1.000,1.025,70
9,14.449,1253052,62183,2841,80,1000,0.100,0.050,1.000,1.044,80
10,14.485,1255999,62341,2786,90,1000,0.100,0.050,1.000,1.034,90
1,4.106,390404,19057,881,0,1000,0.100,0.050,1.000,1.020,0
2,6.467,609930,30012,1388,10,1000,0.100,0.050,1.000,1.023,10
3,5.370,508086,24924,1106,20,1000,0.100,0.050,1.000,1.025,20
4,6.923,652386,32129,1521,30,1000,0.100,0.050,1.000,1.023,30
5,9.229,866118,42833,1944,40,1000,0.100,0.050,1.000,1.026,40
6,9.201,863628,42703,1906,50,1000,0.100,0.050,1.000,1.023,50
7,8.741,821015,40570,1720,60,1000,0.100,0.050,1.000,1.023,60
8,18.225,1701469,84585,3975,70,1000,0.100,0.050,1.000,1.049,70
9,15.553,1453374,72182,3186,80,1000,0.100,0.050,1.000,1.043,80
10,16.184,1511475,75113,3405,90,1000,0.100,0.050,1.000,1.031,90
1,3.312,310476,15048,670,0,1000,0.100,0.050,1.000,1.015,0
2,6.155,568854,27962,1261,10,1000,0.100,0.050,1.000,1.019,10
3,6.755,623201,30687,1412,20,1000,0.100,0.050,1.000,1.020,20
4,8.020,738415,36437,1634,30,1000,0.100,0.050,1.000,1.026,30
5,8.382,771190,38081,1687,40,1000,0.100,0.050,1.000,1.034,40
6,13.411,1227981,60925,2945,50,1000,0.100,0.050,1.000,1.036,50
7,13.469,1233412,61190,2811,60,1000,0.100,0.050,1.000,1.044,60
8,12.364,1133166,56172,2537,70,1000,0.100,0.050,1.000,1.032,70
9,14.184,1298135,64438,2821,80,1000,0.100,0.050,1.000,1.045,80
10,13.948,1277083,63368,2758,90,1000,0.100,0.050,1.000,1.044,90
1,4.885,446885,21880,1082,0,1000,0.100,0.050,1.000,1.018,0
2,5.691,519332,25490,1148,10,1000,0.100,0.050,1.000,1.023,10
3,6.326,576010,28334,1290,20,1000,0.100,0.050,1.000,1.019,20
4,6.747,614106,30220,1335,30,1000,0.100,0.050,1.000,1.022,30
5,9.408,852210,42138,1916,40,1000,0.100,0.050,1.000,1.027,40
6,8.812,799107,39472,1715,50,1000,0.100,0.050,1.000,1.024,50
7,13.938,1258022,62430,2928,60,1000,0.100,0.050,1.000,1.034,60
8,12.202,1102739,54654,2452,70,1000,0.100,0.050,1.000,1.037,70
9,18.058,1627015,80885,3787,80,1000,0.100,0.050,1.000,1.049,80
10,13.934,1257753,62412,2791,90,1000,0.100,0.050,1.000,1.031,90
1,4.897,436654,21384,1041,0,1000,0.100,0.050,1.000,1.022,0
2,4.420,395498,19302,863,10,1000,0.100,0.050,1.000,1.018,10
3,7.654,677963,33423,1489,20,1000,0.100,0.050,1.000,1.030,20
4,6.795,603085,29674,1316,30,1000,0.100,0.050,1.000,1.022,30
5,9.710,857604,42401,1889,40,1000,0.100,0.050,1.000,1.029,40
6,10.676,941906,46621,2180,50,1000,0.100,0.050,1.000,1.028,50
7,11.275,994668,49236,2236,60,1000,0.100,0.050,1.000,1.038,60
8,13.310,1171828,58122,2602,70,1000,0.100,0.050,1.000,1.029,70
9,15.138,1331700,66105,2992,80,1000,0.100,0.050,1.000,1.038,80
10,16.125,1417801,70413,3240,90,1000,0.100,0.050,1.000,1.045,90
1,6.084,563735,27716,1272,0,1000,0.100,0.050,1.000,1.019,0
2,5.664,525903,25806,1194,10,1000,0.100,0.050,1.000,1.020,10
3,6.740,623317,30705,1347,20,1000,0.100,0.050,1.000,1.021,20
4,7.367,680545,33562,1470,30,1000,0.100,0.050,1.000,1.023,30
5,9.955,916323,45355,2039,40,1000,0.100,0.050,1.000,1.032,40
