Account,Influence Score,Popularity,Bot Followers
8,9.275,1.028,7
9,8.701,1.015,8
10,11.832,1.024,9
1,9.026,1.018,0
2,9.095,1.017,1
3,11.041,1.024,2
4,10.058,1.018,3
5,10.975,1.022,4
6,9.644,1.013,5
7,10.399,1.023,6
8,9.131,1.020,7
9,10.506,1.016,8
10,10.124,1.015,9
1,7.064,1.016,0
2,9.903,1.018,1
3,9.030,1.019,2
4,9.648,1.016,3
5,11.006,1.018,4
6,9.504,1.019,5
7,9.847,1.018,6
8,9.868,1.018,7
9,12.193,1.019,8
10,11.937,1.020,9
1,8.039,1.016,0
2,10.585,1.021,1
3,10.254,1.021,2
4,8.449,1.015,3
5,9.610,1.020,4
6,9.776,1.024,5
7,12.639,1.023,6
8,9.651,1.018,7
9,9.641,1.016,8
10,11.355,1.020,9
1,8.488,1.022,0
2,10.803,1.015,1
3,10.030,1.023,2
4,10.963,1.020,3
5,10.146,1.023,4
6,9.926,1.021,5
7,9.363,1.021,6
8,8.246,1.019,7
9,9.571,1.015,8
10,12.464,1.026,9
1,8.025,1.016,0
2,7.265,1.016,1
3,8.677,1.023,2
4,9.932,1.028,3
5,11.270,1.016,4
6,8.144,1.017,5
7,12.608,1.023,6
8,10.087,1.020,7
9,10.269,1.020,8
10,13.724,1.022,9
1,9.580,1.017,0
2,7.764,1.015,1
3,9.773,1.019,2
4,11.358,1.025,3
5,11.455,1.018,4
6,12.071,1.023,5
7,9.082,1.020,6
8,9.752,1.020,7
9,9.228,1.021,8
10,9.937,1.016,9
1,8.426,1.023,0
2,8.030,1.019,1
3,10.908,1.021,2
4,8.952,1.020,3
5,9.568,1.021,4
6,9.862,1.024,5
7,11.264,1.017,6
8,12.899,1.037,7
9,9.867,1.028,8
10,10.224,1.018,9
1,9.537,1.015,0
2,9.279,1.021,1
3,10.245,1.022,2
4,8.827,1.022,3
5,9.156,1.020,4
6,10.108,1.017,5
7,7.888,1.019,6
8,13.967,1.021,7
9,11.341,1.016,8
10,9.651,1.024,9
1,10.452,1.023,0
2,6.780,1.019,1
3,9.521,1.015,2
4,12.133,1.023,3
5,9.121,1.021,4
6,10.710,1.019,5
7,8.339,1.021,6
8,14.020,1.028,7
9,9.777,1.017,8
10,9.148,1.020,9
1,11.218,1.025,0
2,8.220,1.018,1
3,11.326,1.016,2
4,11.096,1.023,3
5,10.888,1.020,4
6,10.360,1.017,5
7,7.458,1.014,6
8,7.992,1.020,7
9,10.860,1.027,8
10,10.581,1.023,9
1,8.520,1.023,0
2,9.312,1.016,1
3,8.086,1.017,2
4,11.572,1.030,3
5,8.138,1.025,4
6,10.019,1.016,5
7,10.436,1.022,6
8,10.232,1.020,7
9,11.738,1.024,8
10,11.947,1.021,9
1,11.518,1.021,0
2,10.925,1.020,1
3,8.429,1.019,2
4,10.376,1.028,3
5,11.296,1.021,4
6,9.440,1.014,5
7,8.459,1.012,6
8,10.524,1.022,7
9,9.482,1.024,8
10,9.551,1.020,9
1,10.564,1.013,0
2,8.716,1.019,1
3,8.789,1.018,2
4,9.792,1.015,3
5,7.918,1.018,4
6,9.273,1.013,5
7,12.818,1.021,6
8,9.710,1.018,7
9,12.724,1.030,8
10,9.697,1.022,9
