Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier
6,10.149,465386,22795,1066,5,1000,0.100,0.050,1.000,1.018,5
7,10.918,500099,24523,1149,6,1000,0.100,0.050,1.000,1.020,6
8,11.578,529327,26006,1296,7,1000,0.100,0.050,1.000,1.025,7
9,12.631,576915,28370,1291,8,1000,0.100,0.050,1.000,1.022,8
10,10.630,487132,23877,1080,9,1000,0.100,0.050,1.000,1.020,9
1,8.245,368483,17973,844,0,1000,0.100,0.050,1.000,1.022,0
2,10.401,463030,22673,1064,1,1000,0.100,0.050,1.000,1.021,1
3,10.049,447910,21907,973,2,1000,0.100,0.050,1.000,1.017,2
4,9.188,409889,20029,887,3,1000,0.100,0.050,1.000,1.017,3
5,11.858,526472,25849,1268,4,1000,0.100,0.050,1.000,1.022,4
6,9.969,443950,21731,1042,5,1000,0.100,0.050,1.000,1.022,5
7,11.016,489622,24014,1092,6,1000,0.100,0.050,1.000,1.021,6
8,8.693,388435,18949,863,7,1000,0.100,0.050,1.000,1.015,7
9,10.430,464317,22737,1055,8,1000,0.100,0.050,1.000,1.023,8
10,10.151,452253,22129,977,9,1000,0.100,0.050,1.000,1.020,9
1,7.669,387788,18932,861,0,1000,0.100,0.050,1.000,1.016,0
2,9.891,497854,24416,1157,1,1000,0.100,0.050,1.000,1.022,1
3,8.214,414893,20278,969,2,1000,0.100,0.050,1.000,1.017,2
4,8.667,437187,21394,1023,3,1000,0.100,0.050,1.000,1.017,3
5,8.096,409140,19986,908,4,1000,0.100,0.050,1.000,1.012,4
6,11.102,557364,27407,1277,5,1000,0.100,0.050,1.000,1.028,5
7,12.297,616321,30355,1382,6,1000,0.100,0.050,1.000,1.024,6
8,12.021,603077,29674,1452,7,1000,0.100,0.050,1.000,1.025,7
9,8.134,410873,20079,915,8,1000,0.100,0.050,1.000,1.019,8
10,13.909,696211,34336,1654,9,1000,0.100,0.050,1.000,1.025,9
1,8.437,421993,20641,973,0,1000,0.100,0.050,1.000,1.016,0
2,11.350,564833,27769,1363,1,1000,0.100,0.050,1.000,1.021,1
3,9.584,478405,23449,1087,2,1000,0.100,0.050,1.000,1.016,2
4,7.557,379131,18488,864,3,1000,0.100,0.050,1.000,1.019,3
5,8.001,401141,19576,842,4,1000,0.100,0.050,1.000,1.014,4
6,8.289,415176,20280,880,5,1000,0.100,0.050,1.000,1.015,5
7,11.853,589440,28999,1331,6,1000,0.100,0.050,1.000,1.022,6
8,13.799,684748,33760,1684,7,1000,0.100,0.050,1.000,1.034,7
9,10.389,517744,25418,1145,8,1000,0.100,0.050,1.000,1.020,8
10,10.741,535209,26278,1208,9,1000,0.100,0.050,1.000,1.018,9
1,9.205,426437,20842,923,0,1000,0.100,0.050,1.000,1.015,0
2,10.702,494056,24230,1167,1,1000,0.100,0.050,1.000,1.018,1
3,10.500,484829,23774,1137,2,1000,0.100,0.050,1.000,1.019,2
4,10.122,467848,22918,1102,3,1000,0.100,0.050,1.000,1.018,3
5,9.920,458817,22460,1019,4,1000,0.100,0.050,1.000,1.018,4
6,8.541,396427,19338,880,5,1000,0.100,0.050,1.000,1.016,5
7,10.512,485551,23801,1086,6,1000,0.100,0.050,1.000,1.020,6
8,9.185,425947,20795,927,7,1000,0.100,0.050,1.000,1.017,7
9,10.768,497002,24380,1136,8,1000,0.100,0.050,1.000,1.019,8
10,10.544,486971,23874,1022,9,1000,0.100,0.050,1.000,1.024,9
1,8.709,420207,20540,966,0,1000,0.100,0.050,1.000,1.018,0
2,9.711,467586,22903,1083,1,1000,0.100,0.050,1.000,1.023,1
3,9.204,443625,21709,1005,2,1000,0.100,0.050,1.000,1.020,2
4,10.697,514079,25229,1184,3,1000,0.100,0.050,1.000,1.019,3
5,11.122,533877,26232,1217,4,1000,0.100,0.050,1.000,1.016,4
6,9.273,446795,21870,1075,5,1000,0.100,0.050,1.000,1.017,5
7,9.513,458399,22437,1051,6,1000,0.100,0.050,1.000,1.016,6
8,9.008,434783,21245,908,7,1000,0.100,0.050,1.000,1.020,7
9,12.105,580630,28550,1400,8,1000,0.100,0.050,1.000,1.023,8
10,10.659,512217,25141,1127,9,1000,0.100,0.050,1.000,1.018,9
1,7.349,341455,16608,773,0,1000,0.100,0.050,1.000,1.017,0
2,7.244,336747,16371,770,1,1000,0.100,0.050,1.000,1.016,1
3,9.815,453427,22183,1011,2,1000,0.100,0.050,1.000,1.017,2
4,16.315,746876,36873,1730,3,1000,0.100,0.050,1.000,1.026,3
5,7.594,352692,17162,756,4,1000,0.100,0.050,1.000,1.019,4
6,11.177,514751,25261,1175,5,1000,0.100,0.050,1.000,1.016,5
7,12.906,593089,29169,1302,6,1000,0.100,0.050,1.000,1.023,6
8,8.449,391320,19095,916,7,1000,0.100,0.050,1.000,1.013,7
9,8.840,409111,19978,924,8,1000,0.100,0.050,1.000,1.014,8
10,10.311,475690,23304,1057,9,1000,0.100,0.050,1.000,1.019,9
1,9.097,409733,20022,925,0,1000,0.100,0.050,1.000,1.016,0
2,10.803,484810,23776,1131,1,1000,0.100,0.050,1.000,1.016,1
3,9.984,448608,21974,952,2,1000,0.100,0.050,1.000,1.021,2
4,10.434,468926,22965,1057,3,1000,0.100,0.050,1.000,1.020,3
5,11.309,507389,24889,1196,4,1000,0.100,0.050,1.000,1.025,4
6,7.821,353698,17213,748,5,1000,0.100,0.050,1.000,1.015,5
7,8.297,374758,18261,789,6,1000,0.100,0.050,1.000,1.017,6
8,12.125,543053,26685,1297,7,1000,0.100,0.050,1.000,1.020,7
9,8.602,388347,18932,806,8,1000,0.100,0.050,1.000,1.016,8
10,11.528,517014,25372,1201,9,1000,0.100,0.050,1.000,1.022,9
1,8.864,433668,21212,1008,0,1000,0.100,0.050,1.000,1.024,0
2,11.129,541953,26632,1324,1,1000,0.100,0.050,1.000,1.026,1
3,11.541,561649,27618,1282,2,1000,0.100,0.050,1.000,1.024,2
4,12.094,588584,28943,1318,3,1000,0.100,0.050,1.000,1.023,3
5,10.121,493733,24220,1126,4,1000,0.100,0.050,1.000,1.019,4
6,8.352,409707,19987,935,5,1000,0.100,0.050,1.000,1.016,5
7,11.030,537503,26396,1301,6,1000,0.100,0.050,1.000,1.021,6
8,8.219,402771,19668,960,7,1000,0.100,0.050,1.000,1.019,7
9,10.120,493776,24219,1101,8,1000,0.100,0.050,1.000,1.016,8
10,8.530,417730,20414,931,9,1000,0.100,0.050,1.000,1.021,9
1,7.861,398300,19435,965,0,1000,0.100,0.050,1.000,1.022,0
2,9.102,459442,22503,1015,1,1000,0.100,0.050,1.000,1.017,1
3,9.250,467098,22870,1135,2,1000,0.100,0.050,1.000,1.016,2
4,11.394,573062,28170,1286,3,1000,0.100,0.050,1.000,1.034,3
5,11.076,557449,27385,1245,4,1000,0.100,0.050,1.000,1.017,4
6,8.389,424335,20740,926,5,1000,0.100,0.050,1.000,1.019,5
7,12.388,622235,30628,1406,6,1000,0.100,0.050,1.000,1.019,6
8,10.850,546303,26825,1191,7,1000,0.100,0.050,1.000,1.021,7
9,9.051,457297,22378,1031,8,1000,0.100,0.050,1.000,1.017,8
10,10.640,535191,26305,1203,9,1000,0.100,0.050,1.000,1.019,9
1,8.352,434941,21273,1020,0,1000,0.100,0.050,1.000,1.015,0
2,8.026,418250,20441,954,1,1000,0.100,0.050,1.000,1.013,1
3,9.090,472609,23152,1058,2,1000,0.100,0.050,1.000,1.024,2
4,11.677,604615,29741,1519,3,1000,0.100,0.050,1.000,1.021,3
5,10.094,523838,25708,1163,4,1000,0.100,0.050,1.000,1.016,4
6,11.439,592516,29135,1338,5,1000,0.100,0.050,1.000,1.027,5
7,11.479,594403,29236,1330,6,1000,0.100,0.050,1.000,1.023,6
8,11.183,579120,28482,1328,7,1000,0.100,0.050,1.000,1.023,7
9,10.166,527531,25893,1109,8,1000,0.100,0.050,1.000,1.015,8
10,8.495,442061,21636,958,9,1000,0.100,0.050,1.000,1.020,9
1,8.632,428100,20943,945,0,1000,0.100,0.050,1.000,1.016,0
2,7.873,391325,19102,810,1,1000,0.100,0.050,1.000,1.017,1
3,9.971,493146,24193,1128,2,1000,0.100,0.050,1.000,1.020,2
4,9.178,454661,22269,1061,3,1000,0.100,0.050,1.000,1.019,3
5,9.865,488074,23934,1115,4,1000,0.100,0.050,1.000,1.025,4
6,9.091,450628,22057,991,5,1000,0.100,0.050,1.000,1.018,5
7,10.371,512755,25163,1106,6,1000,0.100,0.050,1.000,1.019,6
8,12.866,633911,31217,1507,7,1000,0.100,0.050,1.000,1.026,7
9,12.751,628199,30938,1425,8,1000,0.100,0.050,1.000,1.028,8
10,9.400,465488,22807,1017,9,1000,0.100,0.050,1.000,1.019,9
1,9.136,427204,20891,1016,0,1000,0.100,0.050,1.000,1.018,0
2,9.925,463398,22695,1045,1,1000,0.100,0.050,1.000,1.023,1
3,10.388,484135,23754,1087,2,1000,0.100,0.050,1.000,1.025,2
4,9.342,436848,21363,1014,3,1000,0.100,0.050,1.000,1.022,3
5,9.818,458472,22451,994,4,1000,0.100,0.050,1.000,1.022,4
6,9.256,432877,21165,995,5,1000,0.100,0.050,1.000,1.019,5
7,8.189,384284,18725,886,6,1000,0.100,0.050,1.000,1.018,6
8,10.192,475669,23306,1025,7,1000,0.100,0.050,1.000,1.020,7
9,11.224,522966,25666,1206,8,1000,0.100,0.050,1.000,1.025,8
10,12.530,582325,28653,1299,9,1000,0.100,0.050,1.000,1.024,9
1,10.967,478874,23486,1035,0,1000,0.100,0.050,1.000,1.021,0
2,11.329,494201,24261,1128,1,1000,0.100,0.050,1.000,1.021,1
3,9.234,404761,19774,973,2,1000,0.100,0.050,1.000,1.018,2
4,8.691,381538,18611,833,3,1000,0.100,0.050,1.000,1.017,3
5,10.985,479998,23525,1060,4,1000,0.100,0.050,1.000,1.015,4
6,8.111,357192,17370,758,5,1000,0.100,0.050,1.000,1.020,5
7,9.216,404194,19735,908,6,1000,0.100,0.050,1.000,1.015,6
8,10.404,455051,22281,1061,7,1000,0.100,0.050,1.000,1.022,7
9,10.448,457059,22374,1004,8,1000,0.100,0.050,1.000,1.019,8
10,10.615,464242,22733,1009,9,1000,0.100,0.050,1.000,1.019,9
1,9.237,399678,19513,874,0,1000,0.100,0.050,1.000,1.013,0
2,8.509,368853,17974,809,1,1000,0.100,0.050,1.000,1.014,1
3,11.023,475161,23285,1140,2,1000,0.100,0.050,1.000,1.019,2
4,8.104,351988,17118,719,3,1000,0.100,0.050,1.000,1.021,3
5,10.425,449733,22022,1005,4,1000,0.100,0.050,1.000,1.020,4
6,9.073,392827,19166,837,5,1000,0.100,0.050,1.000,1.023,5
7,9.992,431391,21108,899,6,1000,0.100,0.050,1.000,1.016,6
8,10.786,465303,22785,1007,7,1000,0.100,0.050,1.000,1.017,7
9,11.092,478040,23432,1092,8,1000,0.100,0.050,1.000,1.019,8
10,11.759,506647,24839,1137,9,1000,0.100,0.050,1.000,1.023,9
1,6.880,317046,15387,700,0,1000,0.100,0.050,1.000,1.016,0
2,9.048,414368,20236,900,1,1000,0.100,0.050,1.000,1.018,1
3,10.998,501404,24597,1174,2,1000,0.100,0.050,1.000,1.023,2
4,8.447,387294,18892,878,3,1000,0.100,0.050,1.000,1.014,3
5,8.012,367959,17919,799,4,1000,0.100,0.050,1.000,1.015,4
6,13.370,607768,29902,1398,5,1000,0.100,0.050,1.000,1.023,5
7,10.432,476075,23330,1141,6,1000,0.100,0.050,1.000,1.022,6
8,9.920,453324,22185,978,7,1000,0.100,0.050,1.000,1.014,7
9,11.049,503785,24712,1139,8,1000,0.100,0.050,1.000,1.020,8
10,11.844,538849,26489,1214,9,1000,0.100,0.050,1.000,1.018,9
1,8.731,456874,22371,1046,0,1000,0.100,0.050,1.000,1.018,0
2,9.126,477185,23382,1156,1,1000,0.100,0.050,1.000,1.020,1
3,6.806,358189,17439,786,2,1000,0.100,0.050,1.000,1.013,2
4,9.329,487708,23902,1160,3,1000,0.100,0.050,1.000,1.018,3
5,9.089,475365,23287,1085,4,1000,0.100,0.050,1.000,1.019,4
6,12.232,636392,31341,1435,5,1000,0.100,0.050,1.000,1.020,5
7,14.162,735111,36286,1783,6,1000,0.100,0.050,1.000,1.027,6
8,8.001,419388,20500,868,7,1000,0.100,0.050,1.000,1.014,7
9,12.369,643113,31692,1567,8,1000,0.100,0.050,1.000,1.029,8
10,10.155,529975,26019,1209,9,1000,0.100,0.050,1.000,1.024,9
1,7.600,386704,18851,888,0,1000,0.100,0.050,1.000,1.022,0
2,8.462,429051,20990,992,1,1000,0.100,0.050,1.000,1.018,1
3,9.604,485968,23821,1147,2,1000,0.100,0.050,1.000,1.018,2
4,10.516,531083,26085,1264,3,1000,0.100,0.050,1.000,1.027,3
5,10.886,549550,27002,1285,4,1000,0.100,0.050,1.000,1.017,4
6,8.920,452293,22125,1056,5,1000,0.100,0.050,1.000,1.018,5
7,8.471,429895,21011,969,6,1000,0.100,0.050,1.000,1.018,6
8,14.053,706934,34858,1643,7,1000,0.100,0.050,1.000,1.030,7
9,10.784,544329,26749,1244,8,1000,0.100,0.050,1.000,1.025,8
10,10.703,540554,26547,1236,9,1000,0.100,0.050,1.000,1.024,9
1,10.978,498040,24423,1150,0,1000,0.100,0.050,1.000,1.020,0
2,8.614,392676,19162,844,1,1000,0.100,0.050,1.000,1.014,1
3,7.362,336933,16377,758,2,1000,0.100,0.050,1.000,1.018,2
4,10.688,485038,23777,1030,3,1000,0.100,0.050,1.000,1.022,3
5,9.609,437142,21377,1025,4,1000,0.100,0.050,1.000,1.021,4
6,10.432,473657,23207,1099,5,1000,0.100,0.050,1.000,1.024,5
7,9.509,432625,21153,964,6,1000,0.100,0.050,1.000,1.017,6
8,10.220,463887,22736,998,7,1000,0.100,0.050,1.000,1.016,7
9,12.878,582609,28649,1277,8,1000,0.100,0.050,1.000,1.020,8
10,9.711,441410,21603,944,9,1000,0.100,0.050,1.000,1.013,9
1,7.823,376176,18336,856,0,1000,0.100,0.050,1.000,1.023,0
2,9.729,465645,22804,1054,1,1000,0.100,0.050,1.000,1.021,1
3,10.485,501219,24578,1178,2,1000,0.100,0.050,1.000,1.024,2
4,8.473,406653,19860,896,3,1000,0.100,0.050,1.000,1.015,3
5,9.945,476175,23311,1069,4,1000,0.100,0.050,1.000,1.019,4
6,11.742,559819,27524,1249,5,1000,0.100,0.050,1.000,1.019,5
7,11.269,538006,26415,1326,6,1000,0.100,0.050,1.000,1.017,6
8,11.737,559477,27511,1318,7,1000,0.100,0.050,1.000,1.026,7
9,7.475,359916,17522,734,8,1000,0.100,0.050,1.000,1.014,8
10,11.322,540294,26539,1210,9,1000,0.100,0.050,1.000,1.020,9
1,7.856,382451,18659,894,0,1000,0.100,0.050,1.000,1.016,0
2,9.287,450572,22058,1091,1,1000,0.100,0.050,1.000,1.020,1
3,9.810,475220,23300,1121,2,1000,0.100,0.050,1.000,1.019,2
4,9.354,453849,22216,1048,3,1000,0.100,0.050,1.000,1.020,3
5,10.488,507982,24911,1202,4,1000,0.100,0.050,1.000,1.022,4
6,10.241,496105,24323,1114,5,1000,0.100,0.050,1.000,1.019,5
7,13.341,643077,31686,1492,6,1000,0.100,0.050,1.000,1.020,6
8,10.436,505596,24787,1127,7,1000,0.100,0.050,1.000,1.015,7
9,8.073,392865,19174,812,8,1000,0.100,0.050,1.000,1.018,8
10,11.114,537438,26398,1227,9,1000,0.100,0.050,1.000,1.026,9
1,9.307,478215,23446,1091,0,1000,0.100,0.050,1.000,1.023,0
2,10.161,521229,25597,1220,1,1000,0.100,0.050,1.000,1.027,1
3,9.543,490361,24041,1119,2,1000,0.100,0.050,1.000,1.022,2
4,6.927,358422,17452,750,3,1000,0.100,0.050,1.000,1.017,3
5,11.093,568384,27946,1346,4,1000,0.100,0.050,1.000,1.022,4
6,7.120,368430,17938,816,5,1000,0.100,0.050,1.000,1.013,5
7,12.611,645077,31771,1525,6,1000,0.100,0.050,1.000,1.022,6
8,10.509,539157,26476,1267,7,1000,0.100,0.050,1.000,1.021,7
9,10.181,522585,25648,1148,8,1000,0.100,0.050,1.000,1.023,8
10,12.548,641508,31611,1567,9,1000,0.100,0.050,1.000,1.025,9
1,7.939,393618,19207,914,0,1000,0.100,0.050,1.000,1.016,0
2,8.838,437179,21381,972,1,1000,0.100,0.050,1.000,1.018,1
3,8.880,439302,21482,996,2,1000,0.100,0.050,1.000,1.023,2
4,9.115,450360,22051,1031,3,1000,0.100,0.050,1.000,1.019,3
5,11.486,565279,27787,1292,4,1000,0.100,0.050,1.000,1.021,4
6,9.305,459552,22511,1040,5,1000,0.100,0.050,1.000,1.018,5
7,11.236,553336,27181,1292,6,1000,0.100,0.050,1.000,1.021,6
8,10.957,539792,26508,1240,7,1000,0.100,0.050,1.000,1.018,7
9,10.590,521832,25619,1187,8,1000,0.100,0.050,1.000,1.022,8
10,11.653,573242,28191,1314,9,1000,0.100,0.050,1.000,1.018,9
1,7.806,364888,17790,822,0,1000,0.100,0.050,1.000,1.016,0
2,11.415,529923,26013,1186,1,1000,0.100,0.050,1.000,1.024,1
3,12.258,568249,27936,1255,2,1000,0.100,0.050,1.000,1.017,2
4,7.703,360700,17555,775,3,1000,0.100,0.050,1.000,1.013,3
5,8.604,401792,19608,955,4,1000,0.100,0.050,1.000,1.015,4
6,10.659,495342,24291,1099,5,1000,0.100,0.050,1.000,1.016,5
7,9.788,455819,22306,1041,6,1000,0.100,0.050,1.000,1.022,6
8,10.480,487309,23884,1124,7,1000,0.100,0.050,1.000,1.020,7
9,8.149,380840,18570,835,8,1000,0.100,0.050,1.000,1.016,8
10,13.137,608327,29938,1375,9,1000,0.100,0.050,1.000,1.021,9
1,9.191,422662,20670,970,0,1000,0.100,0.050,1.000,1.020,0
2,9.641,443248,21682,972,1,1000,0.100,0.050,1.000,1.013,1
3,8.266,381224,18589,886,2,1000,0.100,0.050,1.000,1.014,2
4,8.890,409188,19993,936,3,1000,0.100,0.050,1.000,1.015,3
5,11.666,534206,26236,1154,4,1000,0.100,0.050,1.000,1.023,4
6,9.334,428992,20992,935,5,1000,0.100,0.050,1.000,1.020,5
7,9.652,443461,21706,1026,6,1000,0.100,0.050,1.000,1.024,6
8,9.698,445809,21811,1002,7,1000,0.100,0.050,1.000,1.020,7
9,12.136,555353,27294,1251,8,1000,0.100,0.050,1.000,1.029,8
10,11.527,528080,25923,1162,9,1000,0.100,0.050,1.000,1.015,9
1,8.262,394848,19273,919,0,1000,0.100,0.050,1.000,1.013,0
2,9.999,475604,23324,1144,1,1000,0.100,0.050,1.000,1.019,1
3,12.492,592278,29140,1513,2,1000,0.100,0.050,1.000,1.024,2
4,6.991,335658,16309,743,3,1000,0.100,0.050,1.000,1.016,3
5,10.217,485929,23834,1110,4,1000,0.100,0.050,1.000,1.025,4
6,8.221,392961,19177,932,5,1000,0.100,0.050,1.000,1.016,5
7,11.807,560632,27543,1263,6,1000,0.100,0.050,1.000,1.020,6
8,10.914,518968,25459,1163,7,1000,0.100,0.050,1.000,1.018,7
9,9.580,456529,22347,981,8,1000,0.100,0.050,1.000,1.019,8
10,11.517,546788,26866,1269,9,1000,0.100,0.050,1.000,1.021,9
1,10.959,542684,26674,1286,0,1000,0.100,0.050,1.000,1.025,0
2,8.288,412970,20174,956,1,1000,0.100,0.050,1.000,1.021,1
3,8.119,404785,19762,963,2,1000,0.100,0.050,1.000,1.025,2
4,9.350,464459,22758,1064,3,1000,0.100,0.050,1.000,1.020,3
5,11.204,555043,27271,1315,4,1000,0.100,0.050,1.000,1.023,4
6,7.269,363179,17692,840,5,1000,0.100,0.050,1.000,1.019,5
7,13.074,645981,31823,1539,6,1000,0.100,0.050,1.000,1.020,6
8,11.594,573776,28219,1299,7,1000,0.100,0.050,1.000,1.021,7
9,10.191,505312,24804,1131,8,1000,0.100,0.050,1.000,1.024,8
10,9.953,493800,24225,1139,9,1000,0.100,0.050,1.000,1.024,9
1,5.549,254676,12268,541,0,1000,0.100,0.050,1.000,1.013,0
2,9.802,442751,21671,983,1,1000,0.100,0.050,1.000,1.019,1
3,8.775,397698,19402,798,2,1000,0.100,0.050,1.000,1.016,2
4,6.960,317126,15388,695,3,1000,0.100,0.050,1.000,1.015,3
5,10.729,483705,23721,1101,4,1000,0.100,0.050,1.000,1.015,4
6,16.139,723252,35684,1671,5,1000,0.100,0.050,1.000,1.024,5
7,10.007,452050,22126,991,6,1000,0.100,0.050,1.000,1.021,6
8,11.001,495878,24324,1096,7,1000,0.100,0.050,1.000,1.023,7
9,10.122,456681,22379,1007,8,1000,0.100,0.050,1.000,1.015,8
10,10.916,491959,24135,1106,9,1000,0.100,0.050,1.000,1.018,9
