Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier
9,10.930,533449,26195,1210,8,1000,0.100,0.050,1.000,1.022,8
10,7.032,346837,16853,753,9,1000,0.100,0.050,1.000,1.019,9
1,8.117,404129,19727,895,0,1000,0.100,0.050,1.000,1.013,0
2,9.521,472080,23140,1029,1,1000,0.100,0.050,1.000,1.014,1
3,10.727,530920,26070,1217,2,1000,0.100,0.050,1.000,1.020,2
4,11.377,562790,27650,1248,3,1000,0.100,0.050,1.000,1.019,3
5,8.793,436968,21370,942,4,1000,0.100,0.050,1.000,1.017,4
6,11.071,547726,26907,1244,5,1000,0.100,0.050,1.000,1.024,5
7,9.522,472383,23143,1067,6,1000,0.100,0.050,1.000,1.026,6
8,12.517,617799,30421,1518,7,1000,0.100,0.050,1.000,1.023,7
9,8.544,424835,20764,900,8,1000,0.100,0.050,1.000,1.023,8
10,9.811,486490,23843,1051,9,1000,0.100,0.050,1.000,1.021,9
1,7.795,380691,18553,838,0,1000,0.100,0.050,1.000,1.018,0
2,10.003,485607,23808,1126,1,1000,0.100,0.050,1.000,1.017,1
3,9.741,472803,23183,1063,2,1000,0.100,0.050,1.000,1.017,2
4,9.080,441887,21609,1021,3,1000,0.100,0.050,1.000,1.016,3
5,11.862,574581,28231,1394,4,1000,0.100,0.050,1.000,1.021,4
6,9.810,476508,23347,1077,5,1000,0.100,0.050,1.000,1.024,5
7,8.614,419405,20502,945,6,1000,0.100,0.050,1.000,1.015,6
8,9.427,458181,22437,990,7,1000,0.100,0.050,1.000,1.013,7
9,11.076,536541,26361,1121,8,1000,0.100,0.050,1.000,1.022,8
10,12.591,608784,29966,1340,9,1000,0.100,0.050,1.000,1.019,9
1,8.124,383163,18695,880,0,1000,0.100,0.050,1.000,1.019,0
2,11.156,522922,25671,1198,1,1000,0.100,0.050,1.000,1.021,1
3,9.370,440786,21560,964,2,1000,0.100,0.050,1.000,1.020,2
4,8.087,381339,18609,865,3,1000,0.100,0.050,1.000,1.016,3
5,11.365,532531,26151,1222,4,1000,0.100,0.050,1.000,1.024,4
6,11.071,518864,25475,1207,5,1000,0.100,0.050,1.000,1.017,5
7,8.099,382278,18637,853,6,1000,0.100,0.050,1.000,1.019,6
8,12.496,584847,28754,1345,7,1000,0.100,0.050,1.000,1.017,7
9,10.056,472492,23139,1077,8,1000,0.100,0.050,1.000,1.020,8
10,10.176,477763,23416,1075,9,1000,0.100,0.050,1.000,1.014,9
1,11.765,524839,25769,1213,0,1000,0.100,0.050,1.000,1.022,0
2,7.702,346588,16869,791,1,1000,0.100,0.050,1.000,1.015,1
3,8.587,385402,18807,879,2,1000,0.100,0.050,1.000,1.018,2
4,12.484,556429,27343,1294,3,1000,0.100,0.050,1.000,1.022,3
5,8.989,403107,19687,936,4,1000,0.100,0.050,1.000,1.018,4
6,8.797,394848,19268,850,5,1000,0.100,0.050,1.000,1.016,5
