1,0.636,1.021,0
2,1.957,1.039,100
3,5.360,1.101,200
4,5.942,1.117,300
5,8.912,1.166,400
6,10.903,1.181,500
7,10.545,1.164,600
8,16.108,1.279,700
9,17.916,1.349,800
10,21.721,1.398,900
1,0.620,1.018,0
2,2.271,1.046,100
3,4.745,1.088,200
4,7.066,1.124,300
5,7.917,1.111,400
6,11.313,1.215,500
7,12.501,1.201,600
8,13.894,1.216,700
9,16.457,1.243,800
10,23.215,1.384,900
1,0.410,1.018,0
2,2.067,1.044,100
3,5.021,1.113,200
4,6.370,1.121,300
5,6.204,1.107,400
6,11.961,1.225,500
7,9.099,1.162,600
8,12.687,1.211,700
9,19.495,1.368,800
10,26.686,1.555,900
1,0.733,1.022,0
2,2.308,1.039,100
3,3.668,1.061,200
4,5.556,1.115,300
5,8.562,1.141,400
6,9.867,1.154,500
7,15.268,1.246,600
8,14.008,1.214,700
9,19.199,1.322,800
10,20.831,1.321,900
1,0.826,1.019,0
2,2.427,1.047,100
3,4.316,1.087,200
4,6.682,1.111,300
5,6.604,1.107,400
6,11.914,1.225,500
7,14.313,1.243,600
8,17.327,1.316,700
9,17.059,1.268,800
10,18.531,1.285,900
1,0.512,1.016,0
2,2.152,1.042,100
3,4.414,1.081,200
4,6.321,1.086,300
5,7.804,1.150,400
6,11.372,1.220,500
7,11.414,1.186,600
8,18.161,1.311,700
9,18.369,1.337,800
10,19.481,1.297,900
1,0.615,1.019,0
2,1.884,1.037,100
3,4.546,1.087,200
4,6.233,1.122,300
5,6.892,1.124,400
6,7.497,1.112,500
7,13.785,1.255,600
8,22.382,1.474,700
9,18.296,1.335,800
10,17.869,1.328,900
1,0.664,1.023,0
2,2.215,1.049,100
3,4.219,1.078,200
4,5.712,1.114,300
5,8.810,1.172,400
6,8.635,1.167,500
7,12.811,1.259,600
8,20.572,1.394,700
9,20.659,1.440,800
10,15.703,1.295,900
1,0.817,1.017,0
2,2.741,1.049,100
3,4.537,1.083,200
4,5.665,1.075,300
5,7.532,1.103,400
6,11.651,1.183,500
7,11.445,1.184,600
8,17.612,1.250,700
9,16.228,1.208,800
10,21.772,1.352,900
1,0.639,1.018,0
2,2.320,1.054,100
3,3.811,1.076,200
4,5.108,1.095,300
5,6.865,1.120,400
6,10.041,1.180,500
7,12.225,1.218,600
8,17.369,1.278,700
9,15.409,1.286,800
10,26.213,1.466,900
1,0.703,1.022,0
2,2.859,1.053,100
3,4.832,1.083,200
4,6.818,1.109,300
5,7.499,1.121,400
6,11.139,1.172,500
7,10.820,1.166,600
8,14.245,1.228,700
9,19.203,1.352,800
10,21.884,1.351,900
1,0.617,1.015,0
2,2.125,1.034,100
3,4.571,1.079,200
4,5.740,1.084,300
5,9.050,1.171,400
6,11.268,1.186,500
7,14.709,1.216,600
8,15.306,1.253,700
9,16.047,1.243,800
10,20.568,1.331,900
1,0.548,1.015,0
2,2.042,1.042,100
3,4.140,1.071,200
4,7.101,1.111,300
5,7.199,1.109,400
6,8.884,1.132,500
7,12.015,1.162,600
8,18.395,1.308,700
9,18.901,1.298,800
10,20.775,1.332,900
1,0.555,1.015,0
