Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
7,7.902,336597,16361,791,0,1000,0.100,0.050,1.000,1.016,0
8,12.420,523686,25715,1247,0,1000,0.100,0.050,1.000,1.022,0
9,10.222,432606,21164,1028,0,1000,0.100,0.050,1.000,1.018,0
10,11.202,473136,23193,1099,0,1000,0.100,0.050,1.000,1.021,0
1,11.749,466771,22866,1072,0,1000,0.100,0.050,1.000,1.020,0
2,9.890,394249,19248,909,0,1000,0.100,0.050,1.000,1.018,0
3,12.345,489633,24025,1133,0,1000,0.100,0.050,1.000,1.022,0
4,9.059,361949,17630,807,0,1000,0.100,0.050,1.000,1.013,0
5,9.870,393427,19209,849,0,1000,0.100,0.050,1.000,1.013,0
6,8.369,335220,16288,703,0,1000,0.100,0.050,1.000,1.011,0
7,7.856,315440,15290,702,0,1000,0.100,0.050,1.000,1.018,0
8,10.626,423106,20680,974,0,1000,0.100,0.050,1.000,1.020,0
9,8.702,348170,16936,809,0,1000,0.100,0.050,1.000,1.019,0
10,11.535,458156,22449,1005,0,1000,0.100,0.050,1.000,1.022,0
1,10.366,469251,22988,997,0,1000,0.100,0.050,1.000,1.013,0
2,9.980,452083,22132,1021,0,1000,0.100,0.050,1.000,1.017,0
3,8.811,400095,19541,879,0,1000,0.100,0.050,1.000,1.012,0
4,10.156,459987,22522,1073,0,1000,0.100,0.050,1.000,1.014,0
5,10.718,484818,23769,1111,0,1000,0.100,0.050,1.000,1.019,0
6,10.889,492312,24148,1110,0,1000,0.100,0.050,1.000,1.020,0
7,10.872,491803,24111,1125,0,1000,0.100,0.050,1.000,1.021,0
8,8.836,401464,19596,869,0,1000,0.100,0.050,1.000,1.020,0
9,10.051,455016,22290,1087,0,1000,0.100,0.050,1.000,1.023,0
10,9.321,422788,20671,988,0,1000,0.100,0.050,1.000,1.013,0
1,9.580,418498,20461,962,0,1000,0.100,0.050,1.000,1.014,0
2,11.622,505864,24822,1187,0,1000,0.100,0.050,1.000,1.018,0
3,8.432,369426,18009,826,0,1000,0.100,0.050,1.000,1.019,0
4,6.917,304534,14773,698,0,1000,0.100,0.050,1.000,1.013,0
5,10.334,450506,22070,996,0,1000,0.100,0.050,1.000,1.017,0
